Dataset,Iterations,Fact Validation Approaches,Approaches Scores,#Approaches,Best Single Approach,Best Single Score,Experiment,Training AUC-ROC Min.,Training AUC-ROC Max.,Training AUC-ROC Mean,Training AUC-ROC Std. Dev.,Testing AUC-ROC Min.,Testing AUC-ROC Max.,Testing AUC-ROC Mean,Testing AUC-ROC Std. Dev.,Improvement
BPDP_Dataset,1,"pathent, pra, predpath, simrank","{'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",4,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0127,0.8804,0.8804,0.8804,0,0.379677632199076,0.379677632199076,0.379677632199076,0,-0.333914600810632
BPDP_Dataset,1,"jaccard, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'jaccard': 0.5, 'kl': 0.4994815722499764, 'kl_rel': 0.5131492129324158, 'ks': 0.5113582807050618, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",8,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0011,0.892,0.892,0.892,0,0.392308417381468,0.392308417381468,0.392308417381468,0,-0.32128381562824
BPDP_Dataset,1,"adamic_adar, katz, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.5, 'katz': 0.49665378452257525, 'kl_rel': 0.5131492129324158, 'ks': 0.5113582807050618, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",8,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0022,0.9183,0.9183,0.9183,0,0.398623809972665,0.398623809972665,0.398623809972665,0,-0.314968423037044
BPDP_Dataset,1,"adamic_adar, degree_product, katz, kl_rel, ks, pra, predpath, simrank","{'adamic_adar': 0.5, 'degree_product': 0.49646526534074836, 'katz': 0.49665378452257525, 'kl_rel': 0.5131492129324158, 'ks': 0.5113582807050618, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",8,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0148,0.9105,0.9105,0.9105,0,0.399849184654539,0.399849184654539,0.399849184654539,0,-0.31374304835517
BPDP_Dataset,1,"adamic_adar, degree_product, katz, kl_rel, pathent, pra, predpath, simrank","{'adamic_adar': 0.5, 'degree_product': 0.49646526534074836, 'katz': 0.49665378452257525, 'kl_rel': 0.5131492129324158, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",8,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0084,0.8956,0.8956,0.8956,0,0.399943444245452,0.399943444245452,0.399943444245452,0,-0.313648788764257
BPDP_Dataset,1,"adamic_adar, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.5, 'katz': 0.49665378452257525, 'kl': 0.4994815722499764, 'kl_rel': 0.5131492129324158, 'ks': 0.5113582807050618, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",9,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0006,0.9515,0.9515,0.9515,0,0.407012913563955,0.407012913563955,0.407012913563955,0,-0.306579319445754
BPDP_Dataset,1,"adamic_adar, degree_product, kl_rel, pathent, pra, predpath, simrank","{'adamic_adar': 0.5, 'degree_product': 0.49646526534074836, 'kl_rel': 0.5131492129324158, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",7,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0092,0.8974,0.8974,0.8974,0,0.407861249882175,0.407861249882175,0.407861249882175,0,-0.305730983127533
BPDP_Dataset,1,"adamic_adar, jaccard, katz, kl, kl_rel, ks, pra, predpath, simrank","{'adamic_adar': 0.5, 'jaccard': 0.5, 'katz': 0.49665378452257525, 'kl': 0.4994815722499764, 'kl_rel': 0.5131492129324158, 'ks': 0.5113582807050618, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",9,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0130,0.8832,0.8832,0.8832,0,0.408144028654916,0.408144028654916,0.408144028654916,0,-0.305448204354793
BPDP_Dataset,1,"adamic_adar, degree_product, jaccard, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.5, 'degree_product': 0.49646526534074836, 'jaccard': 0.5, 'ks': 0.5113582807050618, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",8,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0056,0.9053,0.9053,0.9053,0,0.415119238382505,0.415119238382505,0.415119238382505,0,-0.298472994627203
BPDP_Dataset,1,"degree_product, jaccard, pathent, pra, predpath, simrank","{'degree_product': 0.49646526534074836, 'jaccard': 0.5, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",6,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0121,0.8927,0.8927,0.8927,0,0.419078141200867,0.419078141200867,0.419078141200867,0,-0.294514091808841
BPDP_Dataset,1,"degree_product, jaccard, kl, kl_rel, pathent, pra, predpath, simrank","{'degree_product': 0.49646526534074836, 'jaccard': 0.5, 'kl': 0.4994815722499764, 'kl_rel': 0.5131492129324158, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",8,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0073,0.9475,0.9475,0.9475,0,0.423414082382883,0.423414082382883,0.423414082382883,0,-0.290178150626826
BPDP_Dataset,1,"kl, kl_rel, ks, pathent, pra, predpath, simrank","{'kl': 0.4994815722499764, 'kl_rel': 0.5131492129324158, 'ks': 0.5113582807050618, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",7,predpath,0.713592233009709,eval001.BPDP_Dataset.sub0015,0.9431,0.9431,0.9431,0,0.437364501838062,0.437364501838062,0.437364501838062,0,-0.276227731171647
